Country,Year,ODS_SL.EMP.WORK.FE.ZS,CRP_VA.EST,CRP_CC.EST,ODS_SL.EMP.WORK.MA.ZS,CRP_GE.EST,GDE_SL.GDP.PCAP.EM.KD,CRP_RQ.EST,ODS_SL.EMP.WORK.ZS,ODS_SL.SRV.EMPL.MA.ZS,ODS_SL.SRV.EMPL.ZS,CRP_PV.EST,CRP_RL.EST,ODS_NV.SRV.EMPL.KD,ODS_NV.IND.EMPL.KD
ARG,2021,0.7029709560273834,0.5353543945191986,0.2821129536936496,0.632807440271914,0.22740533024486437,0.32342154234704146,0.1903530427403283,0.6480127408277127,0.7092206158683279,0.7435902339416404,0.5747673405452352,0.23866426467765953,0.15093307518269047,0.24271854678826932
ARG,2020,0.7785485697711733,0.5240473252025736,0.35399001174885525,0.6585830413766864,0.2700690005114214,0.33151203436210447,0.23061423144593493,0.6990228101663272,0.6891371978459634,0.7210091656634209,0.557234174065636,0.23535038032109892,0.16463602738916974,0.2455590665499893
ARG,2019,0.8047812462290131,0.5180018678931942,0.3697952107037495,0.6840169104129538,0.3118806115350164,0.34287385549507843,0.2443342255446718,0.7253967864252137,0.6145396255802343,0.6717412780632214,0.5509851083821574,0.2540036051689543,0.16838374774018397,0.24271854678826932
ARG,2018,0.8156688804220369,0.5043996017108069,0.3720953660436184,0.6910219337775526,0.35860098845339383,0.35972047784681976,0.32226358100800667,0.7340987129530863,0.6328209444994676,0.6653532793024384,0.5763010969101201,0.3185231251356408,0.17109397509368443,0.2679071058842608
ARG,2017,0.7520656215317066,0.4997948360355218,0.3136660020119297,0.6473375070468121,0.3921739818210143,0.37965414380701656,0.32216589960243086,0.6807694851921812,0.703678802645206,0.7369174041862055,0.6139655506957076,0.3127142638757125,0.15077038611542376,0.22355463903375428
ARG,2016,0.7634477115959982,0.4846760872758359,0.3164003191589082,0.6654130036958048,0.418574881669475,0.36970147427727224,0.2763145676033014,0.6960695190803559,0.7017203856326473,0.7336254238435939,0.6224808952543418,0.2871848056174668,0.15879421870861782,0.23888424085596568
ARG,2015,0.7872638448996776,0.4497441589791228,0.23801337600806952,0.6664138365668804,0.33428005646636527,0.38075605745544444,0.10946913527742388,0.7074338644982822,0.6601788002216725,0.6982823071130577,0.576773735045349,0.15409315469433663,0.16339654915241994,0.23704618919327375
ARG,2014,0.7959362356201953,0.4212794522099168,0.24675167869683512,0.6774928612203157,0.31499501335194896,0.3712881326335061,0.058508646170676935,0.7176758498355086,0.6307078252664674,0.6778419709944854,0.5734153344217049,0.11755420356780837,0.16865855734125432,0.24865556838265154
ARG,2013,0.8098246961159444,0.3920060619480295,0.27884770222424726,0.6832674555223933,0.27015682676339187,0.3844605606054274,0.10034185194803319,0.7270556962393508,0.6279140970479746,0.6735607316601798,0.5904506688805307,0.18286923932038837,0.171953292842436,0.25648757738017575
ARG,2012,0.8151623844488421,0.3998101805744105,0.27554058526300185,0.6939439204445162,0.28478219538750477,0.37708271607762245,0.10957085004385322,0.7356916291829886,0.6401507195470899,0.6762450275505365,0.5995749607641114,0.19318502016146807,0.16922751294823118,0.2615770274090076
